gene_ID	log10_9am	pvalue_9am	log10_9pm	pvalue_9pm
AT1G05520	0.007222336	0.256350096	-0.030186449	1
AT1G05560	0.157777648	1	0.126606271	1
AT1G05570	0.130974866	1	0.000804623	0.468407737
AT1G05720	0.010932599	0.185530142	-0.111049296	1
AT1G05805	-0.066970454	1	0.000804623	0.468407737
AT1G05810	0.065944699	1	0.101860917	1
AT1G06000	0.009703307	0.33797567	-0.035177107	0.072365974
AT1G06020	0.011775886	0.257558445	-0.014373276	0.199847981
AT1G06030	0.011775886	0.257558445	-0.011748271	0.229931803
AT1G06130	0.023683104	1	0.019054437	0.183658856
AT1G06190	-0.043426484	1	-0.014133672	1
AT1G06220	0.004207321	1	0.107118028	1
AT1G06230	0.112893865	1	0.000804623	0.468407737
AT1G06290	0.013843245	0.146679127	-0.005500947	0.316693596
AT1G06310	0.149330736	1	-0.007743351	1
AT1G06400	0.005532006	0.402699103	0.041813247	0.242763857
AT1G06410	0.016397687	1	-0.024553329	0.202500168
AT1G06430	-0.009494812	0.238897361	-0.006714533	0.261244718
AT1G06460	-0.001942551	1	-0.017100464	0.263915775
AT1G06510	-0.119569005	1	0.000804623	0.468407737
AT1G06530	0.0015893	0.468325818	-0.002037987	0.461387903
AT1G06550	0.001247969	0.457991502	0.008697656	1
AT1G06570	0.010932599	0.185530142	-0.107688576	1
AT1G06650	0.005860828	0.183221206	-0.015002914	1
AT1G06680	-0.011971358	0.263742331	-0.002579125	0.430728163
AT1G06690	0.004853601	0.407340887	-0.010485989	0.266547461
AT1G06700	0.006021799	0.417385137	-0.00013044	0.49670532
AT1G06760	-0.067200554	1	0.000804623	0.468407737
AT1G06820	-0.000652139	0.470243494	0.007239965	0.252765172
AT1G06890	0.010932599	0.185530142	0.000804623	0.468407737
AT1G06900	0.096030462	1	0.000804623	0.468407737
AT1G06950	0.009408594	0.19810676	0.000148726	0.493616683
AT1G07010	-0.058355524	1	-0.074235821	1
AT1G07040	0.078773373	1	0.018665088	1
AT1G07070	0.007021294	1	-0.133044125	0.028376359
AT1G07080	0.010932599	0.185530142	-0.014498457	0.165574804
AT1G07110	0.011351252	0.264989441	0.012987229	0.24422628
AT1G07140	-0.015088446	0.381998572	0.01377241	0.283224036
AT1G07250	0.004662382	0.410363494	0.007784	0.426471555
AT1G07320	0.001952701	0.430824497	-0.003126799	0.334860617
AT1G07370	0.012087611	1	0.003937118	0.112932966
AT1G07410	0.006540158	1	-0.018023438	1
AT1G07440	0.018790033	0.125573568	0.001338699	0.465563703
AT1G07510	0.024351496	1	0.093406061	1
AT1G07590	0.202551017	1	0.000804623	0.468407737
AT1G07660	0.004741272	0.273658582	0.019297714	0.042948202
AT1G07670	-0.026623445	1	-0.108133807	0.007683508
AT1G07700	0.024255952	1	0.006422363	1
AT1G07750	-0.002074258	0.466922363	0.024032216	0.025710639
AT1G07770	-0.024936449	1	-0.033082419	0.175636392
AT1G07780	0.084381803	1	-0.067178657	1
AT1G07790	0.001283568	0.466408608	-0.007678787	0.315863711
AT1G07810	-0.004157689	1	-0.036745306	1
AT1G07820	0.004741272	0.273658582	0.019297714	0.042948202
AT1G07890	0.006162217	0.066882441	-0.013907701	0.212552836
AT1G07920	0.001517591	0.386818834	-0.014542365	0.183960196
AT1G07930	0.001517591	0.386818834	-0.014542365	0.183960196
AT1G07940	0.001517591	0.386818834	-0.014542365	0.183960196
AT1G07990	0.067963932	1	0.147675137	1
AT1G08110	0.022132419	0.034804426	-0.010061181	0.314817505
AT1G08160	0.089012775	0.026454887	-0.080940127	1
AT1G08190	0.010932599	0.185530142	0.082281246	1
AT1G08200	0.001818412	0.432937097	-0.014706293	0.183425084
AT1G08250	0.026676931	1	0.004705909	1
AT1G08360	0.012566778	0.151978443	-0.013624512	0.327641461
AT1G08370	0.096313487	1	0.000804623	0.468407737
AT1G08420	0.009600353	0.404365733	0.005129577	0.446448512
AT1G08450	0.03504665	0.024306073	0.007078274	0.356963528
AT1G08470	0.014831943	0.24884473	0.000728289	1
AT1G08480	0.037264034	1	0.014806419	0.074520979
AT1G08490	0.0007308	0.463221042	-0.009126987	0.377506053
AT1G08520	0.006401509	0.186563372	-0.020417624	0.125522772
AT1G08530	0.148548033	1	0.000804623	0.468407737
AT1G08550	0.002826996	0.356259869	-0.010814107	0.209831676
AT1G08640	-0.04969398	1	-0.02851278	1
AT1G08680	0.010932599	0.185530142	0.103713174	1
AT1G08720	0.010932599	0.185530142	-0.071648029	1
AT1G08730	0.142280018	1	0.065813559	1
AT1G08820	0.252073586	1	0.000804623	0.468407737
AT1G08830	0.016747437	0.153132136	-0.001738805	0.461516748
AT1G08880	-0.002258661	1	-0.007872904	0.344772339
AT1G08930	-0.009662814	1	-0.104654619	1
AT1G08970	-0.126419546	1	0.001598173	0.406697628
AT1G08980	0.02207854	0.106907353	0.002996423	0.40503556
AT1G09010	0.012577782	0.166188743	-0.001524773	0.46682646
AT1G09080	-0.006829009	0.359804577	-0.015119313	0.316265071
AT1G09100	-0.008478841	0.27002698	-0.020562416	0.18617671
AT1G09130	0.021697734	0.067128747	0.002589367	0.448752577
AT1G09150	0.010932599	0.185530142	-0.115141538	1
AT1G09180	0.00784407	0.229507352	0.00691039	0.278401359
AT1G09200	-0.01158522	0.162688482	0.011897872	0.233517971
AT1G09210	-0.000106816	0.497389862	-0.029957436	0.05647557
AT1G09270	-0.007008902	0.407690246	-0.024982025	0.191890424
AT1G09300	0.010932599	0.185530142	0.019335152	1
AT1G09310	-0.011218527	0.270925033	-0.015791658	0.073159289
AT1G09330	0.142666964	1	0.120312757	0.001276546
AT1G09340	0.002159982	0.429964516	0.009192654	0.35340076
AT1G09400	0.010932599	0.185530142	0.121568477	1
AT1G09430	0.010467682	0.114914912	0.00215591	0.388939966
AT1G09480	0.15275523	0.009620505	0.000804623	0.468407737
AT1G09490	0.141584724	0.002933482	0.004283013	0.368845161
AT1G09560	0.000610136	0.474304126	-0.034168939	0.202368458
AT1G09590	-0.012970171	0.265641178	-0.025050521	0.081174995
AT1G09620	0.011847871	0.163996877	-0.004287079	0.43429965
AT1G09630	-0.038788271	0.083670195	0.00503228	0.392892585
AT1G09640	-0.002767805	0.249962613	0.006587414	0.328112396
AT1G09690	-0.012970171	0.265641178	-0.025050521	0.081174995
AT1G09750	0.002835286	0.408227432	-0.006434918	0.389121054
AT1G09760	0.000472877	0.486745717	0.009664166	0.367805647
AT1G09770	-0.000755581	1	-0.015040519	0.121280512
AT1G09780	-0.000448872	0.479525547	-0.013854083	0.127049102
AT1G09795	0.010422485	0.181220024	0.004404649	0.022165787
AT1G09830	0.020565026	0.234261492	-0.004979681	0.271316013
AT1G09850	0.107813882	1	0.000804623	0.468407737
AT1G09870	0.001275974	1	0.108321536	0.044705649
AT1G10200	0.010932599	0.185530142	0.000804623	0.468407737
AT1G10290	0.009277701	0.204796222	-0.027975658	0.010304338
AT1G10310	0.125540193	0.01301487	0.000804623	0.468407737
AT1G10360	-0.005172307	1	0.000804623	0.468407737
AT1G10370	-0.010298407	0.261382824	0.002174851	0.432190409
AT1G10390	0.029883578	1	0.094645557	1
AT1G10430	0.123850598	0.008770728	-0.094189418	1
AT1G10490	-0.094229222	1	-0.138453761	1
AT1G10510	0.000697301	0.480645944	0.002728414	0.413122131
AT1G10522	0.010932599	0.185530142	-0.077702413	0.002192756
AT1G10580	0.119632562	1	0.000804623	0.468407737
AT1G10590	0.010932599	0.185530142	-0.097523638	1
AT1G10630	0.000613564	0.483981868	0.00457844	0.370183395
AT1G10670	0.007017424	0.362505623	-0.02126857	0.188283433
AT1G10680	0.02974126	1	-0.100573415	0.08317755
AT1G10700	0.010932599	0.185530142	-0.033214332	1
AT1G10760	-0.003522994	0.368713124	-0.022213068	0.034020586
AT1G10830	0.010932599	0.185530142	0.120261337	1
AT1G10840	0.027576271	1	-0.019807133	0.305069776
AT1G10940	0.128129581	0.005771389	-0.027262252	0.011500044
AT1G10950	0.013894043	0.205235409	0.00307723	0.13869164
AT1G10960	0.011923568	1	0.001336111	0.431143949
AT1G11260	0.09303775	0.040962111	0.118314888	0.0884163
AT1G11280	0.010932599	0.185530142	0.000804623	0.468407737
AT1G11300	0.010932599	0.185530142	-0.107518389	1
AT1G11330	0.010932599	0.185530142	0.000804623	0.468407737
AT1G11360	0.074498762	1	0.097837243	1
AT1G11390	0.010932599	0.185530142	0.000804623	0.468407737
AT1G11410	0.010932599	0.185530142	0.138347242	1
AT1G11430	-0.01644567	0.177886195	-0.027256672	0.079985099
AT1G11480	0.010932599	0.185530142	0.000804623	0.468407737
AT1G11530	0.12154372	1	0.087360216	1
AT1G11580	-0.004479387	0.351671921	0.006938594	0.237200364
AT1G11650	0.037889771	0.210394176	-0.017254031	0.244972979
AT1G11660	-0.015297509	1	0.007808747	1
AT1G11680	0.138092655	1	-0.123709519	1
AT1G11720	0.006300788	1	0.008730669	0.386288663
AT1G11750	0.028431433	0.047696488	0.007316342	0.28312813
AT1G11820	0.010932599	0.185530142	0.128908728	1
AT1G11840	0.003204223	0.28539818	-0.015843765	0.142558678
AT1G11860	-0.001454095	0.420966675	-0.005390754	0.320172051
AT1G11870	0.004896466	0.321497462	-0.004368467	0.401499255
AT1G11890	-0.026348672	1	-0.03688676	1
AT1G11900	-0.037727894	1	0.000804623	0.468407737
AT1G11910	-0.005718443	0.389923189	0.005224301	0.413042293
AT1G11930	0.005952755	0.302606992	0.001539035	0.452633236
AT1G12000	0.009997642	0.292163805	-0.004545322	0.219983384
AT1G12010	0.010932599	0.185530142	-0.038896883	1
AT1G12050	-0.010588064	0.271584095	0.001482234	0.457507268
AT1G12140	-0.071169425	0.004455446	-0.090726757	1
AT1G12210	0.010932599	0.185530142	-0.093438116	1
AT1G12230	0.020231788	0.170078745	-0.011596076	0.06643976
AT1G12240	0.000413129	0.490462674	0.000869606	0.482051613
AT1G12250	0.007049842	0.237264574	-0.004674473	0.307775524
AT1G12270	0.108791523	0.014786997	0.047925928	1
AT1G12310	-0.001448819	0.461250042	-0.006765877	0.365837812
AT1G12350	0.010932599	0.185530142	-0.058461533	1
AT1G12360	0.125377001	1	0.044923391	1
AT1G12410	0.037425682	0.084689023	-0.013461982	0.310761279
AT1G12470	0.135500458	1	0.000804623	0.468407737
AT1G12640	0.010932599	0.185530142	0.000804623	0.468407737
AT1G12770	0.026476363	1	0.000804623	0.468407737
AT1G12775	-0.152166254	1	0.000804623	0.468407737
AT1G12780	-0.029511331	0.02445994	-0.000209455	0.492873079
AT1G12800	0.006952545	0.285527063	-0.002610941	0.279985259
AT1G12840	-0.014487108	0.270613971	0.008357333	0.242654684
AT1G12900	-0.009919555	0.107149108	0.003949282	0.198843275
AT1G12920	0.007685982	0.288983241	-0.023318112	0.188766992
AT1G13020	0.093819207	0.040626503	-0.012417191	0.224272542
AT1G13060	-0.009173471	0.261099611	0.000357898	0.49132999
AT1G13080	0.118895076	1	0.012356343	1
AT1G13090	-0.002610238	1	0.003010655	0.450652084
AT1G13100	0.175060033	1	0.158149523	0.000984302
AT1G13110	0.013982198	1	0.022031818	0.308523702
AT1G13270	0.00369345	0.415452743	-0.024233357	0.07126597
AT1G13280	0.025193662	0.239103466	-0.028575494	0.032378492
AT1G13320	0.005757654	0.29961482	-0.004595993	0.386334559
AT1G13370	0.183398262	1	-0.023132949	1
AT1G13440	0.002207591	0.37493935	-0.006102552	0.307957029
AT1G13690	0.010932599	0.185530142	0.000804623	0.468407737
AT1G13750	0.106762963	0.006170901	0.000708692	1
AT1G13900	0.019907681	1	-0.022144974	0.357666464
AT1G13930	-0.020348919	0.206440182	-0.020180908	0.357259884
AT1G13950	0.010932599	0.185530142	0.175959863	1
AT1G14000	0.001311141	1	-0.01532159	1
AT1G14030	0.022211294	0.097097509	-0.014647355	0.191792788
AT1G14150	0.019184522	0.075751293	-0.013486272	0.146434475
AT1G14250	0.038471231	0.01781899	0.003401219	0.4598973
